MAE,RMSE
0.328417440255483,0.4202983716263234
0.7961508268895356,0.9580674056652124
0.38094826936721804,0.36850958297856096
1.6622242212295533,3.5062010169029234
-1.0,
0.5389467844596276,0.7405304604639801
0.4691507621381268,0.3958620320099155
0.8481056152605543,1.2995528198992128
-1.0,
-1.0,
-1.0,
-1.0,
-1.0,
0.6321662291884422,0.654826569603756
0.42125288331717775,0.4369831169203136
1.0295784333172966,2.099766836532474
-1.0,
-1.0,
0.5625249722908283,0.6181116920028285
-1.0,
0.9955772757530212,0.9929460485776267
0.5684738075621775,0.6124200538970995
-1.0,
0.6745708012422978,0.7998715789834959
0.5284254766172833,0.4895849300963594
0.7282115376513937,0.8880365637916207
0.35006806483635533,0.32219594846845634
0.7976464427035788,1.0546437856772408
0.9295583566029867,1.0606994980221822
0.5288764536380768,0.5701994069279172
0.8800153381684247,1.3735181944348906
0.7625522632598877,1.1553495400249956
-1.0,
-1.0,
0.6556233283546236,0.736634152248118
-1.0,
-1.0,
0.6813939048184289,0.937180141712566
-1.0,
1.1108102560043336,1.6805841013789176
-1.0,
0.7565253695776296,1.149077881099756
0.7979413436937935,1.190425553269539
0.5272738420351034,0.6118457704591562
-1.0,
0.6787167642105139,0.9889619419293624
-1.0,
-1.0,
0.7481963497415686,1.1352730744265054
-1.0,
1.0008697867393495,1.181355535984039
-1.0,
0.538015441014348,0.58139605213754
-1.0,
-1.0,
-1.0,
-1.0,
0.5524463726253044,0.6153488446967769
-1.0,
-1.0,
0.6560652557654902,0.8741769739386611
-1.0,
0.8684672798429217,1.2454490491322108
-1.0,
-1.0,
0.8354635613305228,1.0523548674769698
0.7138833218010875,0.9647689223662085
0.7689120886305224,1.1209051696258197
0.3752822411524785,0.2142072060140146
0.3957047661145528,0.23647709170788098
0.6341472785602245,0.9096615646900712
-1.0,
0.5305181897204855,1.3043214218828918
-1.0,
-1.0,
-1.0,
0.4738790452480316,0.596993488073349
