MAE,RMSE
0.5816061957739294,0.9618707518634904
0.41072901615518187,0.809172386261928
0.41071427307490793,0.8183170669237555
0.2514927415620713,0.5862982209396436
0.2499999982038779,0.5900968423228989
0.9661037213213387,1.4824793417157096
0.8154636840336025,1.2785933947460704
1.2376202791652067,1.705089675325469
-1.0,
0.10119047514828187,0.3318418978000229
-1.0,
0.03720238095238095,0.21478117324605614
0.09970237979931491,0.33850159711431893
0.28125,0.618417719822513
0.27239064038509414,0.5936874108902165
-1.0,
0.09970238095238096,0.32959209999778877
0.053571428482731186,0.2377974324298399
0.34879065384822233,0.6903916209369166
-1.0,
0.2812499887797804,0.6326907588028811
0.8607591803496083,1.3718287135817055
0.50446464280997,0.8939278940436542
1.2483464333982695,1.8553505597440945
-1.0,
-1.0,
0.3020833333333333,0.618417719822513
1.1255460989306725,1.6312718909037787
-1.0,
0.32589285678806756,0.6670385859349575
-1.0,
1.2389799116977624,1.78510553283635
0.26934521250604165,0.6420298495490322
0.15029761904761904,0.43813729094233206
0.41220238077498617,0.7952612624043102
0.049107142857142856,0.22821773229381923
0.07142857142857142,0.2781743201320934
0.3065477334672496,0.6500914354813789
0.17113095238095238,0.4482107285003976
0.20238113469843352,0.5175490925181861
0.276622523331926,0.5906163105730071
0.25148809523809523,0.5888346036674394
0.7081971474524055,1.0784747467388764
0.6336701874776433,1.0197965421345976
0.08779761904761904,0.31575683833035345
0.3169642857142857,0.6648039453209388
0.019345238095238096,0.1494035761667992
0.11011904761904762,0.34069257193462343
0.5059523818393549,0.9046835797853434
-1.0,
0.2291666639835707,0.5232681137260994
-1.0,
0.23363095238095238,0.5331286809731685
0.08035714285714286,0.28867513459481287
0.049107142857142856,0.23464765886222647
-1.0,
-1.0,
0.1428571440989063,0.4045867968563448
0.11011904761904762,0.35773760003135047
0.15178571328786866,0.4564354620128158
0.3467251515082483,0.7018242746974904
-1.0,
0.17410714365541935,0.4482107285003981
0.08333333333333333,0.33184190154205606
0.23511904823992932,0.579921995821249
0.4136904620099813,0.801783707954292
0.38392857142857145,0.746021192090157
0.4136904932203747,0.8036375349408739
0.4537987920256065,0.8262116767392774
0.22172617982141674,0.5786375432928232
-1.0,
0.09970238095238096,0.32959209999778877
0.3169642857142857,0.6580544918817243
0.05654761895892166,0.2439750178735822
0.1800595200842335,0.4740278193332219
0.22767859624166573,0.5469068834199396
-1.0,
