MAE,RMSE
0.5076262281063497,0.5639205190871938
0.5238696182527663,0.5883884110124955
0.4804258099553975,0.5640033138348598
0.5566389217794097,0.6300533849325277
0.5649543871114678,0.6451529358875141
0.49285094776874405,0.5529568690903468
0.516798110252191,0.5700856640449928
0.48986937228272537,0.5520281323859557
0.5794851364041238,0.6783900203701057
0.5544686330610687,0.6444613052489752
0.5828306919665762,0.662063034907323
0.5569941133616431,0.6611141848963992
0.5666548134229776,0.6479116054768089
0.538500489612464,0.610922177022015
0.5684668151316059,0.633759846319943
0.5103934254775102,0.5841130266892691
0.5901132941699654,0.6676200325887047
0.5697499042960814,0.6672680580353608
0.5333495504588934,0.5945762866633916
0.5464910890388242,0.632623951985236
0.5562904235834056,0.6364134364903519
0.494955531573113,0.5689734981917907
0.4813289362629992,0.5546876776927048
0.5063888701003962,0.5776783610577199
0.503778378065699,0.5629335144576054
0.5156430761989796,0.588704535046556
0.5530181408258747,0.612527726765201
0.548437064139432,0.6017489131214548
0.5568475953459526,0.6167827329098268
0.48529552228999684,0.5686257982861076
0.5233118930384428,0.6009186547062918
0.49702786157718054,0.5586901540097123
0.5318639531113082,0.6009699918337423
0.5717809812176922,0.6526836142184687
0.49880809530586806,0.5713700716460027
0.6299610759066685,0.7128033663885416
0.6026579758785264,0.6808931168513653
0.5329545129642944,0.5991068217270482
0.5545318769069545,0.6289876282625254
0.5387420968842292,0.6171963573434611
0.528235088768585,0.6152404237527281
0.5475207620635021,0.6203266752041233
0.49894899151945327,0.5625433746548877
0.4958214183217896,0.5492858850139998
0.6020690240185183,0.6902966563539278
0.5140168708785575,0.5862402926988375
0.5765033494515645,0.6776928971286443
0.5716232388725202,0.6531272164921341
0.5197931389343323,0.5833521463821463
0.5519391985739306,0.6395546122374889
0.5487557727337811,0.6212533228362305
0.5646615353923404,0.6552183515144883
0.4938309491330154,0.5620601965235382
0.5273550903827529,0.6273025700860804
0.5791374553992537,0.6775900757887218
0.5786233448858685,0.6464485746430395
0.5162130522389299,0.6053849656236606
0.5576616944894477,0.6386299953809537
0.5854777284085235,0.6780839080642711
0.5465943124865601,0.6358029324779402
0.5203747946381321,0.5824578439124632
0.611552253213072,0.6907968407067555
0.5611463493955862,0.6261983372751694
0.5593746344183522,0.6506412766042364
0.5553172896977063,0.6259793839325433
0.5017843561042954,0.5663838534714151
0.6059964035408283,0.6617454263970095
0.548728485871166,0.6102565979853772
0.5139401389808576,0.5779149104330815
0.5428242323275372,0.6172137364030331
0.5191647767830587,0.5842942921203893
0.541197646377156,0.6182167905114637
0.5259515054999393,0.6029327937514466
0.606644258522298,0.6929994276332891
0.56567962055044,0.6392187834425267
0.5641995275575632,0.6351207485653949
0.522751472318789,0.5898040592667236
