MAE,RMSE
0.6260517651362721,0.7912343301047245
0.8161240168282422,0.9033958251111426
0.5374519846350831,0.7331111679923333
0.9388147064203403,0.968924510176278
0.8177473934516188,0.9042938645438322
0.6782970550576184,0.8235879158035397
0.7563791841960856,0.8697006290650167
0.6349460398756174,0.7968350142128654
0.9861670020120725,0.9930594151469854
0.8510151820010975,0.9225048411803037
0.9488750685933784,0.9741021859093524
0.985732577281873,0.9928406605704024
0.9604216206328882,0.9800110308730653
0.7809127492226083,0.8836926780406231
0.8917596488019024,0.9443302646859849
0.725169197000183,0.8515686683997851
0.8552222425461862,0.9247822676425982
0.9743232119992684,0.9870781184887387
0.7095527711724895,0.842349554028783
0.86985549661606,0.9326604401474633
0.6431543808304372,0.8019690647590075
0.5652094384488751,0.7518041223941746
0.6960627400768246,0.8343037456926731
0.8055149076275836,0.8975048231778945
0.4667550759100055,0.6831947569397803
0.814180537772087,0.9023195319686297
0.6872141942564478,0.8289838323251231
0.6096122187671483,0.780776676628566
0.6486875800256082,0.8054114352463642
0.547969635997805,0.7402497119201095
0.7095756356319737,0.8423631257551423
0.6034616791659045,0.7768279598250211
0.6446634351563929,0.8029093567498096
0.816741357234315,0.9037374382166067
0.8116197183098591,0.9008993941111622
0.9743232119992684,0.9870781184887387
0.9423586976403877,0.970751614801844
0.6884260106091091,0.8297144150905835
0.7282787634900311,0.8533925025977385
0.577807755624657,0.760136669043572
0.780341137735504,0.8833691967323198
0.7591457837936711,0.8712897243705283
0.5722059630510334,0.7564429674807173
0.6794402780318274,0.8242816739633531
0.6526659959758552,0.8078774634657506
0.8190278031827327,0.9050015487184166
0.9861670020120724,0.9930594151469853
0.913983903420523,0.9560250537619415
0.5572526065483812,0.7464935408617955
0.9236555697823303,0.9610700129451185
0.6875114322297421,0.8291630914541132
0.8835513078470825,0.939974099561835
0.7332403511980977,0.856294546986081
0.9302176696542894,0.9644779259549123
0.9724025974025974,0.9861047598519121
0.7459072617523321,0.8636592277931917
0.9359109200658496,0.9674248911754595
0.5433967441009695,0.7371544913388031
0.8222288275105176,0.9067683428034514
0.6586793488201939,0.8115906288395609
0.5784022315712456,0.7605276007951622
0.9230153649167734,0.9607368864141593
0.37493140662154745,0.6123164268754738
0.8656027071520029,0.9303777228373447
0.7555789281141394,0.8692404317069814
0.7326001463325407,0.8559206425437703
0.510929211633437,0.7147931250602771
0.842463874154015,0.9178583083210693
0.5958478141576733,0.7719117916949276
0.904838119626852,0.9512297932817558
0.577030364002195,0.759625147031215
0.9093195536857509,0.9535824839444939
0.5111121273093104,0.7149210636911676
0.9852981525516737,0.9926218577845612
0.7733903420523139,0.8794261436029258
0.9472516919700018,0.9732685610714042
0.7384991768794585,0.8593597482308899
