,,Very Low,Low,Medium,High,Very High
Deepcrime,MAE,0.8,1.08,1.32,1.36,1.49
,RMSE,1.03,2.05,2.6,2.1,2.6
AIST,MAE,0.1,0.35,0.38,0.39,0.42
,RMSE,0.35,0.77,0.82,0.83,0.9
MIST,MAE,0.85,0.73,0.76,0.74,0.73
,RMSE,0.92,0.85,0.87,0.86,0.86
STHSL,MAE,1.0,1.01,1.01,1.01,1.02
,RMSE,1.02,1.05,1.03,1.04,1.04
STSHN,MAE,0.92,0.65,0.77,0.68,0.63
,RMSE,1.34,0.88,1.53,0.99,0.8
CF,MAE,0.58,0.54,0.54,0.53,0.54
,RMSE,0.66,0.61,0.62,0.6,0.61
HAGEN,MAE,0.46,0.5,0.5,0.5,0.5
,RMSE,0.52,0.55,0.54,0.55,0.55
