,,Very Low,Low,Medium,High,Very High
Deepcrime,MacroF1,0.41,0.43,0.44,0.42,0.42
,MicroF1,0.53,0.54,0.56,0.55,0.55
AIST,MacroF1,0.45,0.48,0.46,0.51,0.63
,MicroF1,0.65,0.57,0.56,0.73,0.86
MIST,MacroF1,0.01,0.01,0.02,0.02,0.04
,MicroF1,0.01,0.01,0.02,0.02,0.03
STHSL,MacroF1,0.37,0.37,0.36,0.33,0.32
,MicroF1,0.57,0.58,0.57,0.52,0.47
CF,MacroF1,0.2,0.25,0.35,0.44,0.6
,MicroF1,0.24,0.3,0.43,0.5,0.65
HAGEN,MacroF1,0.26,0.28,0.37,0.37,0.5
,MicroF1,0.29,0.32,0.39,0.4,0.52
